index,county,latitude,longitude,service category,project type,parts,material,connector,equipment,land use,stakeholder,service provider,budget,construction area,load,KPI,construction period
train_9934,Los Angeles,34.102077,-118.057754,T,Curb/Sidewalk,valve,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Unknown,55235,4.37,3,490.2409467024381,49
train_9935,Los Angeles,34.200175,-118.540958,T,Fencing,line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Occupant,Unknown,68480,7.62,2,837.04841010538,28
train_9936,Santa Barbara,34.595669,-120.352667,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Utility Owner,51929,288.23,2,,55
train_9937,Riverside,33.758663,-117.109481,T,Sewer (Sanitary/Storm),main,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Easement,Contractor - 3rd Party,Utility Owner,12989,12.2,4,760.9245886322168,77
train_9938,Vista,33.197856,-117.24814599999999,TG,Drainage,supply,PE,CF,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,47852,12.43,2,,89
train_9939,San Bernardino,34.035602000000004,-117.591528,T,Natural Gas Pipeline,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public Other,Contractor - 3rd Party,Other,84726,34.55,2,515.8505859514901,53
train_9940,Ventura,34.184974,-118.766912,T,Water Pipeline,line,Plastic,PP,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Unknown/Other,Unknown,25792,15.13,2,679.848685442575,60
train_9941,Riverside,33.882740000000005,-117.224878,T,Engineering/Survey,line,Plastic,PP,Probing Device (PD),Public City Street,Contractor - 3rd Party,Utility Owner,31176,18.28,2,641.9028973541517,83
train_9942,San Bernardino,34.105281,-117.66203999999999,T,Natural Gas Pipeline,line,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,45405,10.96,4,930.1669457882604,81
train_9943,Los Angeles,33.847989,-118.112601,T,Sewer (Sanitary/Storm),line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,35070,5.83,2,887.6148760998367,51
train_9944,Orange,33.734008,-117.81916499999998,T,Fencing,line,Plastic,SMC,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Easement,Occupant,Utility Owner,53467,7.17,2,851.4454514147369,54
train_9945,Orange,33.818271,-117.97501899999999,T,Water Pipeline,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,119868,20.06,2,621.6934772911287,40
train_9946,Los Angeles,34.107752000000005,-118.61621799999999,T,Drainage,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,12531,31.24,2,503.70262744023387,54
train_9947,Orange,33.71338,-117.751274,T,Sewer (Sanitary/Storm),main,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Dedicated Public Utility Easement,Contractor - 3rd Party,Utility Owner,59439,15.0,4,808.0051011802597,78
train_9948,Riverside,33.882584,-117.442292,T,Water Pipeline,line,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Utility,Unknown,72855,34.25,2,689.2196917081936,61
train_9949,Imperial,32.687657,-115.541169,T,Grading,valve,Plastic,PPE,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Private Unknown,Developer,Utility Owner,51974,60.31,2,816.7251628795492,70
train_9950,Los Angeles,34.02372800000001,-118.156275,T,Sewer (Sanitary/Storm),main,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Unknown,58775,10.93,4,614.961937564457,76
train_9951,Kern,35.594291999999996,-118.96441100000001,T,Cable Television,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,75481,340.84,2,955.6362592850737,50
train_9952,Los Angeles,34.100516999999996,-118.41463,T,Cable Television,line,Plastic other than PE or PVC (PO),PP,Boring Equipment (BE),Public City Street,Contractor - 3rd Party,Utility Owner,33745,17.24,2,1025.2766624270419,66
train_9953,Los Angeles,34.368158,-118.48913,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,42630,35.33,2,938.7907836784633,48
train_9954,Riverside,33.891154,-117.326751,T,Fencing,line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Other,Occupant,Unknown,35832,20.64,2,763.6767055145741,47
train_9955,Los Angeles,34.02372800000001,-118.156275,T,Landscaping,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Unknown/Other,Other,65977,9.81,3,543.3236076132158,53
train_9956,Los Angeles,34.011312,-118.46976200000002,T,Pole,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Unknown/Other,Unknown,28454,3.89,2,,36
train_9957,San Bernardino,34.067146,-117.171885,T,Electric,main,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,68726,30.22,0.5,700.9395351284833,78
train_9958,Tulare,36.373384,-119.21176499999999,T,Unknown/Other,line,Steel (ST),MPL,Not Available,Private Other,Unknown/Other,Utility Owner,53035,78.42,3,748.1960874146887,62
train_9959,San Luis Obispo,35.585,-121.041474,T,Water Pipeline,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Occupant,Other,17335,85.06,2,640.0449602526437,53
train_9960,Escondido,33.131601,-116.976937,TG,Electric,supply,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,66947,74.86,3,597.390736855644,71
train_9961,Los Angeles,33.887821,-118.12725,T,Unknown/Other,line,Steel (ST),PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Other,Unknown/Other,Unknown,81410,6.95,3,695.4606185466571,46
train_9962,Ventura,34.29553,-118.898196,T,Electric,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,53348,56.87,2,1028.1374486658342,53
train_9963,Orange,33.475061,-117.70563,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,25504,17.64,2,773.2728366913519,52
train_9964,Santa Barbara,34.438773,-119.67884099999999,T,Drainage,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,29263,8.29,2,1196.7823991819769,54
train_9965,Imperial,32.687657,-115.541169,T,Fencing,line,Plastic,PPE,Auger (AG),Unknown\Other,Contractor - 3rd Party,Other,34198,64.12,2,641.754518651587,53
train_9966,Orange,33.502111,-117.604601,T,Grading,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,29973,50.41,2,862.8107770058298,47
train_9967,Los Angeles,34.070409999999995,-118.35041100000001,T,Unknown/Other,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,35385,4.41,2,,52
train_9968,Los Angeles,34.150818,-118.368159,T,Grading,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,23121,4.34,2,,46
train_9969,Ventura,34.196026,-118.992531,T,Sewer (Sanitary/Storm),line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Occupant,Utility Owner,32067,66.48,2,665.7953639428969,52
train_9970,Riverside,33.971006,-117.325181,T,Telecommunications,line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Business,Contractor - 3rd Party,Utility Owner,80817,27.38,2,747.3158724675145,53
train_9971,Los Angeles,34.408549,-118.12359199999999,T,Unknown/Other,Not Applicable,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,86552,166.32,2,512.8162944733579,69
train_9972,Los Angeles,34.236302,-118.24918500000001,T,Water Pipeline,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Contractor - 3rd Party,Unknown,37570,6.67,2,737.6117245452873,48
train_9973,Ventura,34.530198999999996,-119.31013300000001,T,Natural Gas Pipeline,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,25962,287.77,2,,47
train_9974,Solana Beach,32.997248,-117.26058,TG,Unknown/Other,line,PE,Other,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Unknown/Other,Other,13881,13.91,2,474.2796086782837,93
train_9975,Los Angeles,34.108957000000004,-118.15661499999999,T,Bldg. Construction,line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Unknown,Contractor - 3rd Party,Utility Owner,30000,7.44,7,893.9495083845723,53
train_9976,Los Angeles,34.156884999999996,-117.841571,T,Electric,valve,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,26559,14.97,3,634.7781436264427,67
train_9977,Los Angeles,34.230854,-118.36585600000001,T,Water Pipeline,line,Plastic,PPE,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Other,Occupant,Unknown,51838,12.94,2,1244.0599910663186,26
train_9978,Tulare,36.29502100000001,-119.026021,T,Bldg. Construction,line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Utility Owner,16187,137.73,2,650.0393742175966,47
train_9979,Los Angeles,34.137412,-118.20760700000001,T,Sewer (Sanitary/Storm),line,Plastic,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Unknown/Other,Other,38560,12.18,2,506.41670335109393,41
train_9980,Los Angeles,34.066117,-118.84634199999999,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Unknown/Other,Other,30740,77.86,2,514.6799116572249,54
