index,county,latitude,longitude,service category,project type,parts,material,connector,equipment,land use,stakeholder,service provider,budget,construction area,load,KPI
test_1569,Los Angeles,34.281486,-118.556005,T,Electric,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Unknown\Other,Contractor - 3rd Party,Unknown,30373,10.25,2,1121.9639147298758
test_1570,Santa Barbara,34.418979,-119.709166,T,Pole,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,42213,5.35,2,916.3046067199248
test_1571,Los Angeles,34.194489000000004,-118.138263,T,Water Pipeline,line,Polyethylene (PE),PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,42393,10.07,2,526.8019904698807
test_1572,Los Angeles,34.165356,-118.123751,T,Water Pipeline,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,43057,9.6,2,629.9226415061515
test_1573,San Diego,32.608185,-117.05451200000002,TG,Site Development,line,PE,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Dedicated Public Utility Easement,Contractor - 3rd Party,Utility Owner,97608,15.19,2,
test_1574,Los Angeles,34.155533,-118.086178,T,Grading,line,Steel (ST),PPE,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Private Land Owner,Contractor - 3rd Party,Utility Owner,38795,13.72,7,1062.1846608409337
test_1575,San Bernardino,34.035602000000004,-117.591528,T,Irrigation,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Company Contractor,Contract Locator,45669,28.84,2,638.3507991877199
test_1576,Kern,35.25470100000001,-118.912678,T,Fencing,line,Plastic,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Unknown/Other,Other,22198,6.02,2,765.4645349636509
test_1577,Riverside,33.86055,-116.56149,T,Landscaping,line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Unknown,33753,32.82,2,818.8245511176611
test_1578,San Diego,32.747415999999994,-117.166881,TG,Grading,supply,PE,PL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Other,Contractor - 3rd Party,Other,45161,5.41,3,1070.1454555860857
test_1579,Los Angeles,34.100517,-118.41463,T,Electric,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,26941,13.25,3,1010.8346052922847
test_1580,Orange,33.71338,-117.751274,T,Irrigation,valve,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,53056,7.37,2,
test_1581,Los Angeles,34.111885,-118.261033,T,Landscaping,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,25986,4.95,2,803.8764409166321
test_1582,Los Angeles,34.146628,-118.139476,T,Unknown/Other,main,Polyethylene (PE),PPE,Auger (AG),Private Easement,Contractor - 3rd Party,Utility Owner,31609,1.42,4,818.6079210967665
test_1583,San Diego,33.095482000000004,-117.243884,TG,Traffic Signal,main,PE,MPL,Directional Drilling (DD),Public City Street,Contractor - 3rd Party,Unknown,42617,14.09,4,
test_1584,Ventura,34.308048,-118.686969,T,Drainage,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,72451,29.88,2,496.3454486066838
